Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",603,3,0.1uF,C14663
C4,603,1,10uF,C19702
C5,603,1,1uF,C15849
C6,603,1,100nF,
"C7, C8",603,2,22pF,C1653
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D19, D2, D20, D21, D22, D3, D4, D5, D6, D7, D8, D9",SOT-23,21,BAT54C,C14308
D18,603,1,smd1,C375444
D23,603,1,smd2,C89811
D24,805,1,LED,C434431
F1,1206,1,500mA,C69688 
J1,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948 
"R1, R11",603,2,10k,C25804
R10,603,1,1M,C269705 
R14,603,1,300,C323659
"R2, R3",603,2,22,C23345
"R4, R5",603,2,5.1k,C23186
"R6, R7, R8, R9",603,4,680,C23228
SW1,SKQG-1155865,1,SW_Push,C318884
U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,1,ATmega32U4-M,
U2,SOT-23-6,1,USBLC6-2SC6,C7519
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24_Small,C13738
